순위 연속  누적  종목명 현재가 전일비  등락률    거래량 시가  고가  저가
1,삼성전자,"65,100",300,-0.46%,100,"3,886,328","5,969,783",51.99,"4,973,895",8.08,17.07,
2,LG에너지솔루션,"551,000","11,000",+2.04%,500,"1,289,340","234,000",5.33,"63,077",166.72,5.75,
3,SK하이닉스,"91,100",700,+0.77%,"5,000","663,210","728,002",49.79,"1,547,767",29.74,3.56,
4,삼성바이오로직스,"789,000","1,000",-0.13%,"2,500","561,563","71,174",10.69,"4,691",69.14,11.42,
5,LG화학,"703,000","8,000",+1.15%,"5,000","496,264","70,592",48.20,"50,833",29.82,6.95,
6,삼성SDI,"681,000","10,000",+1.49%,"5,000","468,286","68,765",49.18,"66,528",24.55,12.52,
7,삼성전자우,"55,300",100,-0.18%,100,"455,056","822,887",72.21,"117,614",6.86,N/A,
8,현대차,"204,000","1,500",+0.74%,"5,000","431,524","211,532",32.00,"205,043",7.67,9.36,
9,기아,"88,200",900,+1.03%,"5,000","357,530","405,363",37.20,"509,373",6.61,14.57,
10,NAVER,"212,000","4,500",+2.17%,100,"347,784","164,049",48.17,"225,820",54.00,3.29,
11,POSCO홀딩스,"369,000","1,500",-0.40%,"5,000","312,068","84,571",40.17,"187,932",10.12,6.11,
12,카카오,"57,600","1,500",+2.67%,100,"256,804","445,841",26.08,"756,999",18.97,13.54,
13,셀트리온,"170,200","2,100",+1.25%,"1,000","249,157","146,391",20.55,"118,256",42.59,13.35,
14,포스코퓨처엠,"310,500",500,+0.16%,500,"240,523","77,463",6.99,"222,233",203.34,4.87,
15,현대모비스,"224,500","4,000",+1.81%,"5,000","211,670","94,285",37.31,"73,693",8.54,6.80,
16,삼성물산,"109,400",300,-0.27%,100,"203,037","185,592",18.13,"49,566",10.09,7.16,
17,KB금융,"49,250",50,-0.10%,"5,000","198,729","403,511",72.75,"202,592",4.61,9.17,
18,LG전자,"111,500","1,000",+0.90%,"5,000","182,467","163,648",29.16,"188,178",16.85,6.61,
19,신한지주,"34,700",150,+0.43%,"5,000","175,273","505,108",62.00,"385,661",3.97,9.70,
20,SK이노베이션,"179,500","2,500",+1.41%,"5,000","165,976","92,466",24.34,"149,055",10.72,8.49,
21,LG,"89,100","1,200",+1.37%,"5,000","140,155","157,301",35.98,"47,005",7.22,8.48,
22,삼성생명,"66,900",100,-0.15%,500,"133,800","200,000",15.92,"50,831",8.45,5.73,
23,하나금융지주,"41,400",50,-0.12%,"5,000","122,504","295,903",70.55,"114,349",3.46,10.06,
24,하이브,"289,000","5,000",+1.76%,500,"120,353","41,645",18.30,"251,186",228.46,1.87,
25,SK,"164,000",900,+0.55%,200,"120,045","73,198",23.24,"54,215",11.15,5.13,
26,한국전력,"18,670",10,-0.05%,"5,000","119,855","641,964",14.54,"364,759",-0.49,-46.91,
27,카카오뱅크,"25,100",50,-0.20%,"5,000","119,669","476,767",14.01,"246,336",45.39,4.68,
28,KT&G,"83,900",200,-0.24%,"5,000","115,188","137,292",44.45,"109,909",11.34,11.00,
29,삼성화재,"230,000","2,500",+1.10%,500,"108,962","47,375",52.39,"28,078",9.09,9.70,
30,SK텔레콤,"49,400",200,-0.40%,100,"108,104","218,833",44.40,"134,554",10.90,7.97,
31,삼성전기,"138,100","2,000",+1.47%,"5,000","103,152","74,694",29.92,"165,074",10.93,13.76,
32,두산에너빌리티,"15,780",40,-0.25%,"5,000","101,081","640,561",11.91,"2,165,874",-12.65,-11.70,
33,크래프톤,"200,500","1,700",+0.86%,100,"98,721","49,237",30.34,"32,825",19.67,10.29,
34,HD현대중공업,"111,100","1,300",-1.16%,"5,000","98,627","88,773",6.65,"35,396",-28.01,-6.47,
35,고려아연,"484,000","3,500",-0.72%,"5,000","96,138","19,863",21.48,"11,784",11.93,9.38,
36,메리츠금융지주,"45,100",600,-1.31%,500,"93,906","208,218",16.38,"253,006",5.53,30.32,
37,삼성에스디에스,"117,500",700,+0.60%,500,"90,919","77,378",15.61,"21,874",8.27,14.23,
38,HMM,"18,500",300,-1.60%,"5,000","90,472","489,039",11.10,"734,907",0.90,64.98,
39,LG생활건강,"561,000","3,000",-0.53%,"5,000","87,618","15,618",34.55,"8,404",42.02,4.41,
40,우리금융지주,"11,740",60,-0.51%,"5,000","85,474","728,061",39.52,"666,464",2.72,11.51,
41,한화솔루션,"48,350","1,500",+3.20%,"5,000","83,110","171,893",24.66,"946,119",24.69,4.21,
42,대한항공,"22,550",50,+0.22%,"5,000","83,034","368,221",15.07,"178,043",5.76,21.95,
43,S-Oil,"72,800",600,+0.83%,"2,500","81,960","112,583",79.01,"94,353",4.03,27.20,
44,KT,"31,100",100,-0.32%,"5,000","81,206","261,112",40.55,"289,822",6.43,7.99,
45,엔씨소프트,"367,500",500,+0.14%,500,"80,681","21,954",44.85,"18,802",18.52,13.73,
46,기업은행,"10,110",10,+0.10%,"5,000","80,620","797,426",13.89,"137,891",2.91,9.85,
47,롯데케미칼,"178,800","5,200",+3.00%,"5,000","76,482","42,775",23.88,"67,503",104.62,0.43,
48,카카오페이,"55,800",300,+0.54%,500,"74,786","134,026",39.84,"53,296",137.10,3.08,
49,LG이노텍,"287,000","8,000",+2.87%,"5,000","67,925","23,667",20.88,"127,151",6.93,25.85,
50,아모레퍼시픽,"115,800",200,-0.17%,500,"67,735","58,493",24.79,"41,002",59.48,2.81,
51,HD한국조선해양,"86,800",200,-0.23%,"5,000","61,431","70,773",20.72,"46,475",-28.32,-2.22,
52,SK스퀘어,"43,000",350,+0.82%,100,"60,831","141,468",42.13,"69,169",23.42,1.55,
53,SK바이오사이언스,"79,100",200,-0.25%,500,"60,736","76,784",4.81,"56,453",49.56,N/A,
54,현대글로비스,"161,900",700,+0.43%,500,"60,712","37,500",47.72,"16,741",5.10,18.78,
55,SK아이이테크놀로지,"82,500","1,400",+1.73%,"1,000","58,821","71,298",6.95,"101,084",-198.32,-1.35,
56,삼성엔지니어링,"28,950",250,-0.86%,"5,000","56,742","196,000",47.32,"187,571",8.53,28.32,
57,LG디스플레이,"15,620",420,+2.76%,"5,000","55,891","357,816",19.31,"2,244,374",-1.82,-26.71,
58,KODEX 200,"32,690",90,+0.28%,0,"55,736","170,500",1.60,"668,526",N/A,N/A,
59,SK바이오팜,"71,000",300,+0.42%,500,"55,602","78,313",6.36,"19,683",-39.89,-36.66,
60,DB손해보험,"75,100","1,000",-1.31%,500,"53,171","70,800",44.38,"27,920",5.41,16.45,
61,F&F,"138,700",800,+0.58%,100,"53,132","38,307",12.71,"11,672",12.03,60.40,
62,오리온,"133,600","9,400",-6.57%,500,"52,820","39,536",42.09,"58,977",13.46,16.47,
63,한화에어로스페이스,"102,700",800,-0.77%,"5,000","51,997","50,630",33.54,"258,192",25.89,6.98,
64,코스모신소재,"169,000","2,600",+1.56%,"1,000","51,800","30,651",7.63,"186,194",238.36,12.13,
65,맥쿼리인프라,"12,780",20,+0.16%,0,"51,739","404,846",13.87,"144,783",N/A,N/A,
66,포스코인터내셔널,"28,900",550,+1.94%,"5,000","50,842","175,923",5.72,"789,309",6.05,15.79,
